T_A[K] T_B[K] CNT sr860x[V] sr860y[V] sr860f[Hz] sr860sin[V] yyyy-mm-dd hh:mm:ss.ccccc
113.741667 113.213333 191 0.15008900 -0.00180865 33.3330 1.0000000000 2022-12-21 22:12:29.611483
113.750000 113.220000 192 0.15002178 -0.00180549 33.3330 1.0000000000 2022-12-21 22:12:31.454358
113.753333 113.220000 193 0.14994987 -0.00180223 33.3330 1.0000000000 2022-12-21 22:12:33.342920
113.763333 113.230000 194 0.14987345 -0.00179957 33.3330 1.0000000000 2022-12-21 22:12:35.218636
113.770000 113.230000 195 0.14980581 -0.00179659 33.3330 1.0000000000 2022-12-21 22:12:37.092950
113.778333 113.231667 196 0.14974211 -0.00179399 33.3330 1.0000000000 2022-12-21 22:12:39.011001
113.786667 113.240000 197 0.14967318 -0.00179141 33.3330 1.0000000000 2022-12-21 22:12:40.880488
113.790000 113.250000 198 0.14960593 -0.00178916 33.3330 1.0000000000 2022-12-21 22:12:42.750101
113.795000 113.260000 199 0.14954858 -0.00178715 33.3330 1.0000000000 2022-12-21 22:12:44.657251
113.795000 113.263333 200 0.14949061 -0.00178448 33.3330 1.0000000000 2022-12-21 22:12:46.600133
113.796667 113.270000 201 0.14943137 -0.00178117 33.3330 1.0000000000 2022-12-21 22:12:48.494267
113.801667 113.280000 202 0.14936893 -0.00177919 33.3330 1.0000000000 2022-12-21 22:12:50.379378
113.811667 113.290000 203 0.14933127 -0.00177818 33.3330 1.0000000000 2022-12-21 22:12:52.259208
113.815000 113.290000 204 0.14928577 -0.00177682 33.3330 1.0000000000 2022-12-21 22:12:54.140214
113.830000 113.300000 205 0.14922553 -0.00177405 33.3330 1.0000000000 2022-12-21 22:12:56.053933
113.830000 113.305000 206 0.14916167 -0.00177173 33.3330 1.0000000000 2022-12-21 22:12:57.915846
113.835000 113.310000 207 0.14910359 -0.00177014 33.3330 1.0000000000 2022-12-21 22:12:59.784152
113.840000 113.320000 208 0.14905446 -0.00176810 33.3330 1.0000000000 2022-12-21 22:13:01.648876
113.846667 113.320000 209 0.14899232 -0.00176476 33.3330 1.0000000000 2022-12-21 22:13:03.549876
113.850000 113.326667 210 0.14892887 -0.00176255 33.3330 1.0000000000 2022-12-21 22:13:05.406230
113.851667 113.330000 211 0.14887214 -0.00176005 33.3330 1.0000000000 2022-12-21 22:13:07.326916
113.858333 113.343333 212 0.14881576 -0.00175774 33.3330 1.0000000000 2022-12-21 22:13:09.257458
113.866667 113.350000 213 0.14874820 -0.00175585 33.3330 1.0000000000 2022-12-21 22:13:11.136325
113.875000 113.350000 214 0.14868327 -0.00175401 33.3330 1.0000000000 2022-12-21 22:13:13.018690
113.876667 113.350000 215 0.14863404 -0.00175161 33.3330 1.0000000000 2022-12-21 22:13:14.895906
113.883333 113.360000 216 0.14858575 -0.00174981 33.3330 1.0000000000 2022-12-21 22:13:16.777267
113.880000 113.370000 217 0.14853999 -0.00174778 33.3330 1.0000000000 2022-12-21 22:13:18.646727
