T[C] Ux[V] Uy[V] f[Hz] SinVoltage[V] Current[A] Res[Ohm] T_A[C] T_B[C]
460.65 0.00022605 -5.5250000000000005e-06 73.33 5.0 0.00474025 0.047687685 0.0 0.0
461.66 0.000226095 -5.555e-06 73.33 5.0 0.0047402 0.047697569999999995 0.0 0.0
462.67 0.000226095 -5.615e-06 73.33 5.0 0.0047396999999999995 0.04770261 0.0 0.0
463.67 0.000226305 -5.735e-06 73.33 5.0 0.0047393999999999995 0.047749635 0.0 0.0
464.67 0.00022629 -5.45e-06 73.33 5.0 0.00473935 0.04774706 0.0 0.0
465.68 0.00022656 -5.644999999999999e-06 73.33 5.0 0.0047389500000000005 0.047807635 0.0 0.0
466.69 0.000226365 -5.51e-06 73.33 5.0 0.0047390999999999996 0.047765295 0.0 0.0
467.69 0.00022665 -5.48e-06 73.33 5.0 0.0047390999999999996 0.047825019999999996 0.0 0.0
468.69 0.00022635 -5.51e-06 73.33 5.0 0.0047393999999999995 0.047759125 0.0 0.0
469.705 0.000226485 -5.615e-06 73.33 5.0 0.0047393999999999995 0.047787394999999996 0.0 0.0
470.725 0.000226605 -5.81e-06 73.33 5.0 0.00473945 0.047811985 0.0 0.0
471.74 0.000226455 -5.435e-06 73.33 5.0 0.004739999999999999 0.04777514 0.0 0.0
472.76 0.000226635 -5.57e-06 73.33 5.0 0.0047393 0.04781983 0.0 0.0
473.77 0.00022675 -5.735e-06 73.33 5.0 0.004738900000000001 0.047849105 0.0 0.0
474.775 0.000226875 -5.75e-06 73.33 5.0 0.004739200000000001 0.047871159999999996 0.0 0.0
475.78499999999997 0.000227005 -5.72e-06 73.33 5.0 0.0047389 0.047902585 0.0 0.0
476.78 0.00022715 -5.675e-06 73.33 5.0 0.00473885 0.04793455 0.0 0.0
477.775 0.00022677 -5.735e-06 73.33 5.0 0.0047396 0.047845109999999996 0.0 0.0
478.78499999999997 0.00022709500000000002 -5.855e-06 73.33 5.0 0.00474 0.047910234999999995 0.0 0.0
479.795 0.00022706499999999998 -5.66e-06 73.33 5.0 0.00474015 0.04790239 0.0 0.0
480.8 0.00022700999999999998 -5.675000000000001e-06 73.33 5.0 0.00473975 0.047894 0.0 0.0
481.78499999999997 0.00022698 -5.5250000000000005e-06 73.33 5.0 0.00473965 0.04788869 0.0 0.0
482.775 0.000227125 -5.84e-06 73.33 5.0 0.0047389500000000005 0.047927185 0.0 0.0
483.765 0.00022718 -5.615e-06 73.33 5.0 0.0047388 0.047941245 0.0 0.0
484.77 0.00022745 -5.57e-06 73.33 5.0 0.0047387 0.047998929999999995 0.0 0.0
485.775 0.000227195 -5.465e-06 73.33 5.0 0.0047390999999999996 0.047941395 0.0 0.0
486.78 0.0002273 -5.495e-06 73.33 5.0 0.00473955 0.047958795 0.0 0.0
487.78 0.000227255 -5.465e-06 73.33 5.0 0.0047395 0.047949900000000004 0.0 0.0
488.78 0.00022739 -5.615e-06 73.33 5.0 0.004739500000000001 0.04797817 0.0 0.0
489.78 0.000227465 -5.7199999999999994e-06 73.33 5.0 0.0047398 0.04799084 0.0 0.0
490.775 0.00022748 -5.555e-06 73.33 5.0 0.0047393999999999995 0.047998084999999996 0.0 0.0
491.78 0.00022757 -5.675000000000001e-06 73.33 5.0 0.0047392 0.048019015 0.0 0.0
492.775 0.000227465 -5.464999999999999e-06 73.33 5.0 0.00473885 0.04800048 0.0 0.0
493.77 0.000227645 -5.545e-06 73.33 5.0 0.004738900000000001 0.048037725 0.0 0.0
494.76 0.00022757000000000002 -5.63e-06 73.33 5.0 0.0047390999999999996 0.048019985 0.0 0.0
495.76 0.000227675 -5.66e-06 73.33 5.0 0.0047383500000000005 0.048049549999999996 0.0 0.0
496.77 0.000227855 -5.39e-06 73.33 5.0 0.0047393999999999995 0.048076675 0.0 0.0
497.76 0.00022751 -5.425e-06 73.33 5.0 0.00473975 0.048000854999999995 0.0 0.0
498.745 0.00022784 -5.51e-06 73.33 5.0 0.0047395 0.048072475 0.0 0.0
499.725 0.000227885 -5.420000000000001e-06 73.33 5.0 0.004739500000000001 0.04808187 0.0 0.0
500.68 0.000227765 -5.66e-06 73.33 5.0 0.0047393999999999995 0.048057765 0.0 0.0
501.685 0.00022781 -5.66e-06 73.33 5.0 0.004739 0.048071355 0.0 0.0
502.675 0.00022763 -5.57e-06 73.33 5.0 0.0047389500000000005 0.048034055000000006 0.0 0.0
503.67 0.00022773500000000001 -5.5399999999999995e-06 73.33 5.0 0.004739200000000001 0.04805358 0.0 0.0
504.655 0.00022781 -5.425e-06 73.33 5.0 0.004739 0.04807122 0.0 0.0
505.64 0.000227885 -5.57e-06 73.33 5.0 0.0047388 0.048089085 0.0 0.0
506.625 0.000227705 -5.555e-06 73.33 5.0 0.00473925 0.048046740000000004 0.0 0.0
507.62 0.00022808 -5.48e-06 73.33 5.0 0.00473925 0.04812534 0.0 0.0
508.605 0.00022791499999999998 -5.435e-06 73.33 5.0 0.0047399 0.048084245 0.0 0.0
509.59 0.00022805 -5.7050000000000004e-06 73.33 5.0 0.0047395 0.048116485 0.0 0.0
510.585 0.00022803500000000002 -5.48e-06 73.33 5.0 0.00473915 0.04811699 0.0 0.0
511.58 0.00022793 -5.555e-06 73.33 5.0 0.00473885 0.048097965 0.0 0.0
512.575 0.000227975 -5.465e-06 73.33 5.0 0.004738549999999999 0.048110395 0.0 0.0
513.57 0.00022799 -5.495e-06 73.33 5.0 0.004738600000000001 0.048113055 0.0 0.0
514.565 0.000227975 -5.645e-06 73.33 5.0 0.0047388 0.04810799 0.0 0.0
515.555 0.000227885 -5.39e-06 73.33 5.0 0.00473955 0.048081495 0.0 0.0
516.54 0.000228275 -5.555e-06 73.33 5.0 0.0047397 0.048161604999999996 0.0 0.0
517.525 0.000228095 -5.615e-06 73.33 5.0 0.00473985 0.048122405 0.0 0.0
518.505 0.00022825999999999999 -5.585e-06 73.33 5.0 0.00473925 0.048163115 0.0 0.0
519.495 0.00022820000000000002 -5.75e-06 73.33 5.0 0.0047392 0.048151070000000004 0.0 0.0
520.48 0.000228035 -5.7800000000000006e-06 73.33 5.0 0.0047389500000000005 0.0481189 0.0 0.0
521.48 0.00022814 -5.57e-06 73.33 5.0 0.0047393 0.048137385000000005 0.0 0.0
